RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
211,2024,5.0,5.0,0,8.283601875933334,TOPAZIO,10.0,7.0,9.379509379666667,9.585,7.51,7.25,7.866,5.5,6.5,9.0,,,5A,MASCULINO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,0.0,15,
212,2022,3.0,4.0,-1,7.268,AMETISTA,5.0,6.2,8.4,9.6,7.5,,6.958,4.8,5.8,7.8,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,
213,2022,3.0,3.0,0,7.209,AMETISTA,10.0,3.5,8.7,9.6,7.5,,6.833,5.0,2.0,,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2009,0.0,13,
214,2022,3.0,5.0,-2,4.87,QUARTZO,5.0,4.3,6.1,0.0,7.5,,5.125,5.0,3.5,,NAO,NAO,C,MASCULINO,2022,ESCOLA PUBLICA,2007,-2.0,15,
215,2022,3.0,3.0,0,7.172,AMETISTA,10.0,7.8,5.8,6.7,7.5,,6.542,5.7,7.7,10.0,NAO,NAO,D,FEMININO,2021,ESCOLA PUBLICA,2009,0.0,13,0.0
215,2023,4.0,4.0,0,7.166475,AMETISTA,10.0,6.9,6.6,8.8,2.52,7.96875,7.7125,5.7,6.7,8.3,,,4C,FEMININO,2021,PUBLICA,2009,0.0,14,0.0
215,2024,5.0,5.0,0,7.045258874400002,AMETISTA,10.0,5.666666666666667,6.455627705333334,7.084,6.26,8.0,7.432,5.0,2.0,10.0,,,5B,FEMININO,2021,PUBLICA,2009,0.0,15,
216,2022,3.0,3.0,0,7.502,AMETISTA,10.0,7.0,8.5,7.9,7.5,,5.583,5.3,6.5,9.2,NAO,NAO,D,FEMININO,2018,ESCOLA PUBLICA,2009,0.0,13,
217,2022,3.0,5.0,-2,7.397,AMETISTA,5.0,7.1,8.5,7.9,7.5,,7.292,6.3,7.2,7.7,SIM,NAO,D,FEMININO,2021,ESCOLA PUBLICA,2007,-2.0,15,1.0
217,2023,4.0,5.0,-1,6.96965,AGATA,5.0,5.6,8.6,8.3,2.52,8.4375,8.5025,6.7,5.3,4.8,,,4B,FEMININO,2021,PUBLICA,2007,-1.0,16,1.0
217,2024,5.0,6.0,-1,7.4209164502,AMETISTA,5.0,7.833333333333333,8.917748917666666,8.334,6.26,7.125,6.994,9.0,7.0,7.5,,,5A,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,-1.0,17,
218,2022,3.0,4.0,-1,6.1,AGATA,5.0,4.0,7.3,6.3,7.5,,6.125,5.0,7.0,0.0,NAO,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2008,-1.0,14,1.0
218,2023,4.0,5.0,-1,5.811541667,QUARTZO,5.0,6.7,6.7,0.0,2.52,7.96875,7.88,5.7,7.0,7.5,,,4C,FEMININO,2022,PUBLICA,2008,-1.0,15,
219,2022,3.0,6.0,-3,5.942,QUARTZO,2.5,3.5,6.9,8.8,7.5,,6.375,4.0,4.8,1.7,NAO,NAO,D,MASCULINO,2019,ESCOLA PUBLICA,2006,-3.0,16,
220,2022,3.0,3.0,0,7.028,AGATA,10.0,6.5,8.1,0.0,7.5,,7.833,6.8,6.8,5.8,SIM,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2009,0.0,13,0.0
220,2023,4.0,4.0,0,7.102016667,AMETISTA,10.0,6.1,7.6,8.8,2.52,7.1875,7.5475,6.3,5.8,6.3,,,4C,FEMININO,2022,PUBLICA,2009,0.0,14,0.0
220,2024,5.0,5.0,0,7.6987770562666675,AMETISTA,10.0,6.833333333333333,8.198051948,8.751,6.26,7.25,7.332,8.0,3.5,9.0,,,5B,FEMININO,2022,PUBLICA,2009,0.0,15,
221,2022,3.0,4.0,-1,6.892,AGATA,5.0,5.2,8.5,9.6,7.5,,6.0,7.0,3.5,5.0,NAO,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,1.0
221,2023,3.0,5.0,-2,6.959916667,AGATA,5.0,5.0,9.0,9.6,5.0,7.1875,7.38,5.5,4.8,4.8,,,3C,MASCULINO,2022,PUBLICA,2008,-2.0,15,
222,2022,3.0,5.0,-2,5.604,QUARTZO,5.0,6.2,4.6,7.1,7.5,,4.917,5.0,7.5,6.0,NAO,NAO,D,FEMININO,2019,ESCOLA PUBLICA,2007,-2.0,15,
223,2022,3.0,3.0,0,4.966,QUARTZO,10.0,3.1,4.6,0.0,7.5,,5.583,4.3,4.7,0.2,NAO,NAO,E,FEMININO,2022,ESCOLA PUBLICA,2009,0.0,13,1.0
223,2023,3.0,4.0,-1,5.089833333,QUARTZO,5.0,3.8,4.5,0.0,7.52,7.5,7.1725,5.5,4.0,1.8,,,3G,FEMININO,2022,PUBLICA,2009,-1.0,14,
224,2022,3.0,3.0,0,5.671,QUARTZO,10.0,2.6,4.3,9.6,7.5,,4.875,5.0,2.7,0.0,NAO,NAO,E,MASCULINO,2021,ESCOLA PUBLICA,2009,0.0,13,
225,2022,3.0,4.0,-1,5.918,QUARTZO,5.0,5.0,5.3,8.3,7.5,,5.708,3.0,7.0,,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,
226,2022,3.0,4.0,-1,6.549,AGATA,5.0,6.8,6.1,7.5,7.5,,6.208,7.0,6.5,,NAO,NAO,E,FEMININO,2022,ESCOLA PUBLICA,2008,-1.0,14,
227,2022,3.0,3.0,0,6.471,AGATA,10.0,3.3,6.4,9.2,7.5,,5.833,4.7,4.3,1.0,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2010,0.0,12,0.0
227,2023,3.0,3.0,0,7.722125,AMETISTA,10.0,6.9,7.5,9.6,5.63,8.28125,7.4625,7.2,6.5,7.0,,,3B,MASCULINO,2022,PUBLICA,2010,0.0,13,0.0
227,2024,3.0,3.0,0,8.074015455333335,TOPAZIO,10.0,6.5,8.097577276666668,9.585,9.38,7.5,7.54,4.0,6.0,9.5,,,3A,MASCULINO,2022,PUBLICA,2010,0.0,14,
228,2022,3.0,5.0,-2,6.196,AGATA,5.0,4.8,6.7,7.5,7.5,,6.417,3.0,6.0,5.3,NAO,NAO,E,FEMININO,2017,ESCOLA PUBLICA,2007,-2.0,15,
229,2022,3.0,3.0,0,8.62,TOPAZIO,10.0,6.9,9.4,10.0,7.5,,8.5,7.0,6.7,7.2,SIM,SIM,E,MASCULINO,2022,ESCOLA PUBLICA,2010,0.0,12,0.0
229,2023,4.0,3.0,1,8.207591667,TOPAZIO,10.0,7.8,9.8,9.2,2.52,8.28125,8.42,8.0,8.2,7.3,,,4A,MASCULINO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2010,1.0,13,0.0
229,2024,5.0,4.0,1,8.852545634933334,TOPAZIO,10.0,8.833333333333334,9.841269841333334,9.585,5.635,8.28125,8.8375,9.5,7.0,10.0,,,5C,MASCULINO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2010,1.0,14,
230,2022,3.0,4.0,-1,6.328,AGATA,5.0,5.7,5.1,7.9,7.5,,6.75,3.7,4.3,9.0,SIM,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,
231,2022,3.0,4.0,-1,6.116,AGATA,5.0,3.8,7.4,8.8,7.5,,5.333,3.0,4.5,,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,
232,2022,3.0,3.0,0,4.245,QUARTZO,10.0,0.0,4.9,0.0,7.5,,4.542,0.0,0.0,,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2010,0.0,12,
233,2022,3.0,4.0,-1,6.051,AGATA,5.0,3.8,7.4,7.9,7.5,,5.5,3.0,4.5,,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2008,-1.0,14,
234,2022,3.0,3.0,0,6.719,AGATA,10.0,4.3,7.6,10.0,5.6,,5.583,3.7,6.3,2.8,NAO,NAO,E,MASCULINO,2022,ESCOLA PUBLICA,2009,0.0,13,0.0
234,2023,3.0,3.0,0,6.248741667,AGATA,10.0,5.6,8.0,6.7,2.52,4.84375,5.595,6.3,5.3,5.3,,,3D,MASCULINO,2022,PUBLICA,2009,0.0,14,
235,2022,3.0,4.0,-1,6.79,AGATA,5.0,6.3,7.3,8.3,7.5,,6.417,7.0,5.5,,NAO,NAO,E,FEMININO,2022,ESCOLA PUBLICA,2008,-1.0,14,
236,2022,3.0,3.0,0,7.11,AMETISTA,10.0,3.7,7.5,9.6,7.5,,7.208,4.0,4.0,3.0,NAO,NAO,F,FEMININO,2022,ESCOLA PUBLICA,2010,0.0,12,0.0
236,2023,3.0,3.0,0,7.337116667,AMETISTA,10.0,4.5,7.5,10.0,7.52,7.1875,7.2975,6.3,4.0,3.3,,,3G,FEMININO,2022,PUBLICA,2010,0.0,13,0.0
236,2024,4.0,4.0,0,6.980833740133334,AGATA,10.0,4.5,7.890668700666666,9.168,6.26,6.875,6.362,1.5,4.0,8.0,,,4F,FEMININO,2022,PUBLICA,2010,0.0,14,
237,2022,3.0,4.0,-1,8.084,TOPAZIO,5.0,7.8,9.0,10.0,7.5,,8.417,6.8,7.7,8.8,SIM,SIM,F,FEMININO,2022,ESCOLA PUBLICA,2008,-1.0,14,1.0
237,2023,4.0,5.0,-1,7.436566667,AMETISTA,5.0,6.7,9.5,8.3,2.52,8.125,8.96,7.7,7.0,5.5,,,4F,FEMININO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,-1.0,15,1.0
237,2024,5.0,6.0,-1,7.931384271366667,AMETISTA,5.0,7.666666666666667,9.689754689666666,8.751,6.26,7.916666667,8.336666667,6.0,7.0,10.0,,,5F,FEMININO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,-1.0,16,
238,2022,3.0,4.0,-1,6.331,AGATA,5.0,5.1,6.4,8.8,5.0,,7.208,4.3,6.5,4.5,NAO,NAO,F,FEMININO,2021,ESCOLA PUBLICA,2008,-1.0,14,
239,2022,3.0,5.0,-2,4.572,QUARTZO,5.0,3.7,3.7,0.0,7.5,,5.958,2.0,4.7,4.5,NAO,NAO,F,FEMININO,2021,ESCOLA PUBLICA,2007,-2.0,15,1.0
239,2023,4.0,6.0,-2,6.411333333,AGATA,5.0,7.0,8.4,0.0,5.0,8.125,7.6275,6.0,7.2,7.7,,,4G,FEMININO,2021,PUBLICA,2007,-2.0,16,1.0
239,2024,4.0,7.0,-3,6.782180868800001,AGATA,2.5,6.666666666666667,6.361737677333333,8.751,5.635,7.875,8.502,4.0,10.0,6.0,,,4F,FEMININO,2021,PUBLICA,2007,-3.0,17,
240,2022,3.0,3.0,0,6.943,AGATA,10.0,4.7,8.1,7.1,5.0,,7.042,6.3,5.0,2.8,NAO,NAO,F,FEMININO,2017,REDE DECISAO,2009,0.0,13,0.0
240,2023,4.0,4.0,0,6.337966667,AGATA,10.0,4.8,6.7,7.1,2.52,6.875,6.9175,7.0,3.3,4.2,,,4F,FEMININO,2017,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,0.0,14,
241,2022,3.0,4.0,-1,8.468,TOPAZIO,5.0,7.7,10.0,10.0,7.5,,9.125,8.2,7.5,7.3,NAO,SIM,F,MASCULINO,2016,REDE DECISAO,2008,-1.0,14,1.0
241,2023,4.0,5.0,-1,7.016,AMETISTA,5.0,7.5,9.9,0.0,2.52,8.75,9.545,9.3,7.0,6.2,,,4F,MASCULINO,2016,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,-1.0,15,0.0
241,2024,7.0,5.0,2,8.311616666733334,TOPAZIO,10.0,6.816666666666667,9.891666667,10.002,7.1975,7.5,7.5,6.15,7.2,7.1,,,7E,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2008,2.0,16,
242,2022,3.0,3.0,0,8.673,TOPAZIO,10.0,8.2,9.7,9.6,5.6,,8.708,8.7,7.2,8.7,NAO,SIM,F,MASCULINO,2018,REDE DECISAO,2009,0.0,13,0.0
242,2023,4.0,4.0,0,8.221841667,TOPAZIO,10.0,7.9,9.7,7.1,2.52,8.59375,9.3775,9.3,7.3,7.2,,,4F,MASCULINO,2018,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,0.0,14,0.0
242,2024,7.0,5.0,2,8.2887,TOPAZIO,10.0,7.650000000000001,9.621,9.585,6.26,7.5,7.5,8.05,8.05,6.85,,,7E,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2009,2.0,15,
243,2022,3.0,5.0,-2,6.982,AGATA,5.0,6.0,8.7,7.1,5.0,,7.875,5.0,5.3,7.7,NAO,NAO,F,FEMININO,2022,ESCOLA PUBLICA,2007,-2.0,15,
244,2022,3.0,3.0,0,8.51,TOPAZIO,10.0,7.8,9.4,7.5,6.3,,9.208,6.7,8.0,8.7,NAO,SIM,F,FEMININO,2018,REDE DECISAO,2010,0.0,12,0.0
244,2023,4.0,3.0,1,7.044333333,AMETISTA,10.0,7.3,8.8,0.0,2.52,8.125,8.8325,7.0,8.0,6.8,,,4F,FEMININO,2018,PRIVADA PROGRAMA DE APADRINHAMENTO,2010,1.0,13,0.0
244,2024,5.0,4.0,1,8.7225,TOPAZIO,10.0,9.5,10.0,7.5,6.26,8.125,8.17,10.0,9.0,9.5,,,5G,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2010,1.0,14,
245,2022,3.0,4.0,-1,8.656,TOPAZIO,5.0,8.4,9.9,10.0,7.5,,9.25,8.3,8.2,8.8,NAO,SIM,F,MASCULINO,2016,REDE DECISAO,2008,-1.0,14,1.0
245,2023,4.0,5.0,-1,7.171166667,AMETISTA,5.0,8.1,10.0,0.0,2.52,8.75,9.5875,9.3,7.8,7.3,,,4F,MASCULINO,2016,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,-1.0,15,0.0
245,2024,7.0,5.0,2,8.452633333266668,TOPAZIO,10.0,8.033333333333333,9.953333333,9.168,6.885,7.5,7.5,8.4,7.6,8.1,,,7E,MASCULINO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,2.0,16,
246,2022,3.0,3.0,0,8.639,TOPAZIO,10.0,7.6,9.4,8.3,7.5,,9.167,8.0,6.7,8.0,SIM,SIM,F,MASCULINO,2022,ESCOLA PUBLICA,2009,0.0,13,0.0
246,2023,4.0,4.0,0,8.256766667,TOPAZIO,10.0,6.8,9.9,8.8,4.39,8.125,8.9175,7.7,7.0,5.8,,,4F,MASCULINO,2022,PRIVADA,2009,0.0,14,0.0
246,2024,7.0,5.0,2,4.7404,QUARTZO,10.0,0.0,0.0,8.334,6.57,7.5,7.5,0.0,0.0,0.0,,,7E,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2009,2.0,15,
247,2022,3.0,3.0,0,7.72,AMETISTA,10.0,5.8,8.2,8.3,7.5,,7.875,5.3,5.7,6.3,SIM,NAO,F,FEMININO,2021,ESCOLA PUBLICA,2009,0.0,13,0.0
247,2023,3.0,3.0,0,7.221958333,AMETISTA,10.0,7.2,8.5,0.0,7.52,8.28125,7.5425,6.5,6.7,8.3,,,3B,FEMININO,2021,PUBLICA,2009,0.0,14,0.0
247,2024,4.0,4.0,0,6.646485739800001,AGATA,10.0,4.333333333333333,8.306595365666666,0.0,6.26,7.75,8.5875,0.0,5.0,8.0,,,4B,FEMININO,2021,PUBLICA,2009,0.0,15,
248,2022,3.0,3.0,0,7.429,AMETISTA,10.0,5.2,7.6,9.2,7.5,,7.292,4.0,5.5,6.0,NAO,NAO,F,MASCULINO,2022,ESCOLA PUBLICA,2009,0.0,13,
249,2022,3.0,4.0,-1,5.097,QUARTZO,5.0,2.9,7.4,6.7,5.0,,4.292,2.3,4.2,2.2,NAO,NAO,G,MASCULINO,2017,ESCOLA PUBLICA,2008,-1.0,14,1.0
249,2023,3.0,5.0,-2,5.444625,QUARTZO,5.0,4.9,8.2,0.0,5.0,5.15625,6.545,6.2,5.3,3.2,,,3F,MASCULINO,2017,PUBLICA,2008,-2.0,15,1.0
249,2024,4.0,6.0,-2,6.125104328999999,AGATA,5.0,5.0,6.645021645,7.083,5.0,6.75,7.064,1.0,8.0,6.0,,,4F,MASCULINO,2021,PUBLICA,2008,-2.0,16,
250,2022,3.0,3.0,0,7.958,AMETISTA,10.0,6.6,8.6,8.3,7.5,,7.625,6.7,6.5,6.7,SIM,NAO,G,FEMININO,2022,ESCOLA PUBLICA,2010,0.0,12,0.0
250,2023,3.0,3.0,0,7.598208333,AMETISTA,10.0,8.3,9.3,0.0,5.63,7.96875,8.625,7.7,8.8,8.3,,,3F,FEMININO,2022,PUBLICA,2010,0.0,13,0.0
250,2024,4.0,4.0,0,9.049892592566668,TOPAZIO,10.0,9.166666666666666,9.629629629666667,9.168,6.88,8.958333333,8.95,10.0,7.5,10.0,,,4H,FEMININO,2022,PRIVADA PROGRAMA DE APADRINHAMENTO,2010,0.0,14,
251,2022,3.0,5.0,-2,7.022,AGATA,5.0,6.3,8.1,10.0,5.6,,6.625,5.3,6.3,7.2,NAO,NAO,G,MASCULINO,2018,ESCOLA PUBLICA,2007,-2.0,15,1.0
251,2023,4.0,5.0,-1,6.665208333,AGATA,5.0,5.3,8.0,9.6,2.52,7.34375,7.835,5.0,5.5,5.3,,,4N,MASCULINO,2018,PUBLICA,2007,-1.0,16,1.0
251,2024,5.0,6.0,-1,6.7135006212,AGATA,5.0,4.5,8.612836439,8.751,5.63,6.875,7.326666667,4.0,2.5,7.0,,,5N,MASCULINO,2021,PUBLICA,2007,-1.0,17,
252,2022,3.0,4.0,-1,4.277,QUARTZO,5.0,0.9,2.8,9.2,7.5,,3.875,1.3,1.2,0.2,NAO,NAO,G,MASCULINO,2018,ESCOLA PUBLICA,2008,-1.0,14,
253,2022,3.0,5.0,-2,4.312,QUARTZO,5.0,1.8,3.6,9.2,5.0,,3.75,1.0,3.7,0.7,NAO,NAO,G,MASCULINO,2019,ESCOLA PUBLICA,2007,-2.0,15,
254,2022,3.0,4.0,-1,6.715,AGATA,5.0,5.3,7.4,10.0,5.6,,6.917,5.0,6.8,4.0,NAO,NAO,G,MASCULINO,2019,ESCOLA PUBLICA,2008,-1.0,14,1.0
254,2023,4.0,5.0,-1,,,5.0,5.9,8.8,9.6,,7.8125,7.71,5.7,5.7,6.2,,,4H,MASCULINO,2019,PUBLICA,2008,-1.0,15,
255,2022,3.0,4.0,-1,4.563,QUARTZO,5.0,1.3,3.8,7.5,5.0,,5.542,1.0,2.3,0.5,NAO,NAO,G,MASCULINO,2019,ESCOLA PUBLICA,2008,-1.0,14,
256,2022,3.0,3.0,0,7.192,AMETISTA,10.0,5.2,8.5,8.8,5.0,,6.708,5.3,6.7,3.5,NAO,NAO,G,FEMININO,2019,ESCOLA PUBLICA,2010,0.0,12,
257,2022,3.0,4.0,-1,5.149,QUARTZO,5.0,3.6,6.4,0.0,5.6,,6.708,4.0,5.2,1.5,NAO,NAO,G,FEMININO,2018,ESCOLA PUBLICA,2008,-1.0,14,
258,2022,3.0,3.0,0,6.926,AGATA,10.0,4.8,7.3,10.0,5.6,,6.125,2.7,6.2,5.5,NAO,NAO,G,FEMININO,2018,ESCOLA PUBLICA,2010,0.0,12,
258,2024,3.0,3.0,0,6.429063888866667,AGATA,10.0,2.5,6.944444444333333,7.084,7.51,7.34375,6.732,,5.0,0.0,,,3H,FEMININO,2021,PUBLICA,2010,0.0,14,
259,2022,3.0,6.0,-3,4.182,QUARTZO,2.5,0.9,2.9,8.8,7.5,,4.625,0.0,2.7,0.2,NAO,NAO,G,MASCULINO,2017,ESCOLA PUBLICA,2006,-3.0,16,
260,2022,3.0,3.0,0,7.44,AMETISTA,10.0,5.0,8.2,10.0,7.5,,6.458,5.7,5.2,4.2,NAO,NAO,G,FEMININO,2019,ESCOLA PUBLICA,2009,0.0,13,0.0
260,2023,3.0,3.0,0,8.080008333,TOPAZIO,10.0,6.1,9.9,9.2,7.52,7.34375,7.4175,6.3,5.2,6.7,,,3G,FEMININO,2019,PUBLICA,2009,0.0,14,0.0
260,2024,4.0,4.0,0,8.448920634933334,TOPAZIO,10.0,7.0,9.674603174666666,8.751,7.51,7.875,8.502,7.5,5.5,8.0,,,4F,FEMININO,2021,PUBLICA,2009,0.0,15,
261,2022,3.0,4.0,-1,6.763,AGATA,5.0,5.8,7.2,8.8,5.6,,7.042,6.2,5.8,5.5,SIM,NAO,G,FEMININO,2019,ESCOLA PUBLICA,2008,-1.0,14,
262,2022,3.0,5.0,-2,4.786,QUARTZO,5.0,3.4,5.8,0.0,5.6,,5.625,1.3,5.5,3.5,NAO,NAO,G,MASCULINO,2021,ESCOLA PUBLICA,2007,-2.0,15,1.0
262,2023,4.0,6.0,-2,4.406458333,QUARTZO,5.0,3.8,3.7,0.0,5.0,7.03125,6.05,5.0,3.3,3.0,,,4G,MASCULINO,2021,PRIVADA,2007,-2.0,16,1.0
262,2024,4.0,6.0,-2,5.806145462066667,QUARTZO,5.0,4.166666666666667,4.854560643666667,7.917,7.51,7.0,6.296,1.0,4.5,7.0,,,4F,MASCULINO,2021,PRIVADA,2007,-2.0,17,
263,2022,3.0,5.0,-2,5.319,QUARTZO,5.0,3.7,5.6,5.8,7.5,,4.417,3.0,2.8,5.4,NAO,NAO,G,FEMININO,2019,ESCOLA PUBLICA,2007,-2.0,15,
264,2022,3.0,5.0,-2,7.087,AMETISTA,5.0,5.8,9.2,10.0,5.6,,6.625,6.0,5.5,,NAO,NAO,I,FEMININO,2022,ESCOLA PUBLICA,2007,-2.0,15,
265,2022,3.0,3.0,0,7.926,AMETISTA,10.0,6.9,7.7,8.3,7.5,,7.917,5.3,7.0,8.5,SIM,NAO,I,MASCULINO,2019,ESCOLA PUBLICA,2009,0.0,13,0.0
265,2023,4.0,4.0,0,,,10.0,7.0,8.7,8.3,,7.96875,7.88,7.3,6.8,6.8,,,4H,MASCULINO,2019,PUBLICA,2009,0.0,14,
266,2022,3.0,6.0,-3,5.987,QUARTZO,2.5,6.0,5.8,7.5,5.6,,6.583,5.0,6.7,6.3,NAO,NAO,I,FEMININO,2019,ESCOLA PUBLICA,2006,-3.0,16,
267,2022,3.0,5.0,-2,6.012,AGATA,5.0,3.3,7.4,10.0,5.0,,6.292,2.3,4.8,2.7,NAO,NAO,I,FEMININO,2016,ESCOLA PUBLICA,2007,-2.0,15,1.0
267,2023,4.0,6.0,-2,,,5.0,2.7,7.7,7.9,,4.6875,6.505,2.7,4.0,1.3,,,4H,FEMININO,2016,PUBLICA,2007,-2.0,16,1.0
267,2024,5.0,7.0,-2,5.8963067819666675,QUARTZO,5.0,2.0,8.285533910333333,10.002,6.26,4.583333333,6.273333333,0.0,2.0,4.0,,,5G,FEMININO,2021,PUBLICA,2007,-2.0,17,
268,2022,3.0,4.0,-1,6.695,AGATA,5.0,5.7,6.7,9.2,6.3,,7.208,7.0,6.8,3.2,SIM,NAO,K,FEMININO,2021,ESCOLA PUBLICA,2008,-1.0,14,
269,2022,3.0,3.0,0,8.231,TOPAZIO,10.0,8.9,8.6,9.2,6.3,,7.25,8.7,9.5,8.5,NAO,NAO,K,MASCULINO,2022,ESCOLA PUBLICA,2009,0.0,13,0.0
269,2023,4.0,4.0,0,8.116041667,TOPAZIO,10.0,7.4,9.0,9.6,2.52,8.59375,8.7975,8.0,7.3,7.0,,,4L,MASCULINO,2022,PUBLICA,2009,0.0,14,0.0
269,2024,7.0,5.0,2,8.4773,TOPAZIO,10.0,8.200000000000001,9.6,9.168,7.505,7.5,7.5,8.1,8.6,7.9,,,7E,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2009,2.0,15,
270,2022,3.0,3.0,0,8.226,TOPAZIO,10.0,7.9,8.4,8.3,6.9,,8.125,8.0,7.2,8.5,NAO,NAO,K,FEMININO,2019,REDE DECISAO,2009,0.0,13,0.0
270,2023,4.0,4.0,0,7.982633333,AMETISTA,10.0,6.6,9.0,9.2,2.52,8.75,9.1275,7.7,6.2,5.8,,,4M,FEMININO,2019,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,0.0,14,0.0
270,2024,7.0,5.0,2,4.79255,QUARTZO,10.0,0.0,0.0,9.168,6.2575,7.5,7.5,0.0,0.0,0.0,,,7E,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2009,2.0,15,
271,2022,3.0,5.0,-2,7.255,AMETISTA,5.0,7.1,8.5,9.2,5.6,,6.958,6.3,6.5,8.3,SIM,NAO,K,FEMININO,2022,ESCOLA PUBLICA,2007,-2.0,15,1.0
271,2023,4.0,6.0,-2,6.140333333,AGATA,5.0,5.9,9.3,0.0,2.52,8.125,7.7125,4.3,7.0,6.3,,,4M,FEMININO,2022,PUBLICA,2007,-2.0,16,1.0
271,2024,5.0,6.0,-1,7.400633333333334,AMETISTA,5.0,7.333333333333333,8.958333333333334,9.168,6.26,7.5,6.7475,5.0,7.5,9.5,,,5M,FEMININO,2022,PUBLICA,2007,-1.0,17,
272,2022,3.0,4.0,-1,6.361,AGATA,5.0,5.1,5.7,9.2,7.5,,6.417,5.0,6.8,3.5,NAO,NAO,K,MASCULINO,2021,ESCOLA PUBLICA,2008,-1.0,14,
273,2022,3.0,4.0,-1,5.679,QUARTZO,5.0,3.0,5.3,9.2,7.5,,5.833,3.8,4.7,0.5,NAO,NAO,K,FEMININO,2018,ESCOLA PUBLICA,2008,-1.0,14,1.0
273,2023,3.0,4.0,-1,6.337116667,AGATA,5.0,5.0,7.4,7.9,2.52,7.8125,7.6275,5.3,6.8,3.0,,,3L,FEMININO,2018,PUBLICA,2008,-1.0,15,1.0
273,2024,4.0,5.0,-1,6.5991307798,AGATA,5.0,4.5,7.323153899,9.168,6.26,8.125,6.896,3.0,6.5,4.0,,,4N,FEMININO,2021,PUBLICA,2008,-1.0,16,
274,2022,3.0,2.0,1,7.946,AMETISTA,10.0,8.1,8.3,7.9,7.5,,7.0,8.1,9.3,7.0,NAO,NAO,K,FEMININO,2019,REDE DECISAO,2011,1.0,11,0.0
274,2023,4.0,3.0,1,8.137625,TOPAZIO,10.0,7.5,9.5,7.5,5.63,7.65625,8.295,7.0,7.7,7.8,,,4M,FEMININO,2019,PRIVADA PROGRAMA DE APADRINHAMENTO,2011,1.0,12,0.0
274,2024,5.0,3.0,2,8.651029629666667,TOPAZIO,10.0,9.333333333333334,9.648148147999999,8.334,5.635,8.125,8.226666667,9.0,9.0,10.0,,,5L,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2011,2.0,13,
275,2022,3.0,5.0,-2,6.665,AGATA,5.0,4.6,6.9,9.6,7.5,,6.667,5.0,6.0,2.7,SIM,NAO,K,MASCULINO,2018,ESCOLA PUBLICA,2007,-2.0,15,
276,2022,3.0,4.0,-1,5.527,QUARTZO,5.0,4.3,5.7,7.1,5.6,,5.125,3.7,6.0,3.3,NAO,NAO,K,FEMININO,2017,ESCOLA PUBLICA,2008,-1.0,14,0.0
276,2023,4.0,4.0,0,6.690458333,AGATA,10.0,5.5,8.5,6.3,2.52,7.03125,6.585,3.7,4.7,8.0,,,4M,FEMININO,2017,PRIVADA PROGRAMA DE APADRINHAMENTO,2008,0.0,15,
277,2022,3.0,4.0,-1,7.411,AMETISTA,5.0,7.4,8.8,7.1,7.5,,7.208,7.2,7.0,8.2,SIM,NAO,K,MASCULINO,2021,ESCOLA PUBLICA,2008,-1.0,14,1.0
