RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
17,2022,7.0,8.0,-1,8.068,TOPAZIO,5.0,7.8,10.0,8.8,7.5,,8.292,9.0,6.5,,SIM,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2002,-1.0,20,0.0
17,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2002,0.0,21,0.0
17,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2002,0.0,22,
18,2022,7.0,8.0,-1,7.226,AMETISTA,5.0,9.0,8.7,6.3,6.3,,6.875,9.0,9.0,,SIM,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2003,-1.0,19,
19,2022,7.0,8.0,-1,7.665,AMETISTA,5.0,8.0,9.5,7.9,7.5,,7.0,7.0,9.0,,SIM,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2003,-1.0,19,1.0
19,2023,7.0,8.0,-1,7.710866667,AMETISTA,5.0,7.8,9.4,7.9,5.63,7.75,8.1725,7.7,7.0,8.8,,,7A,FEMININO,2022,NENHUMA DAS OPCOES ACIMA,2003,-1.0,20,0.0
19,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8F,FEMININO,2022,PRIVADA PARCERIAS COM BOLSA 100,2003,0.0,21,
20,2022,7.0,8.0,-1,7.535,AMETISTA,5.0,7.8,10.0,7.1,6.3,,7.167,9.0,6.5,,SIM,NAO,D,FEMININO,2022,ESCOLA PUBLICA,2003,-1.0,19,
21,2022,7.0,8.0,-1,6.945,AGATA,5.0,3.8,9.2,9.6,7.5,,7.25,7.0,0.5,,SIM,NAO,D,MASCULINO,2022,ESCOLA PUBLICA,2004,-1.0,18,0.0
21,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PARCERIAS COM BOLSA 100,2004,0.0,19,0.0
21,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,MASCULINO,2022,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2004,0.0,20,
22,2022,6.0,7.0,-1,7.474,AMETISTA,5.0,6.7,7.4,8.3,8.1,,8.833,9.0,3.1,7.8,NAO,SIM,A,FEMININO,2019,REDE DECISAO,2005,-1.0,17,
23,2022,6.0,7.0,-1,7.677,AMETISTA,5.0,6.7,8.2,8.3,8.1,,8.556,7.2,4.7,8.2,SIM,SIM,A,MASCULINO,2021,ESCOLA PUBLICA,2005,-1.0,17,0.0
23,2023,8.0,7.0,1,,,10.0,,,,,,,,,,,,8E,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,1.0,18,0.0
23,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,MASCULINO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
24,2022,6.0,7.0,-1,8.087,TOPAZIO,5.0,8.6,7.9,9.2,6.9,,9.111,10.0,6.3,9.7,NAO,SIM,A,FEMININO,2021,REDE DECISAO,2005,-1.0,17,
